Identifier,PriceDate,Close
CASH.OQ,2/10/2017 0:00,87.8
EQN.L,2/10/2017 0:00,193.5
FDC.N,2/10/2017 0:00,15.82
SQ.N,2/10/2017 0:00,14.61
WPG.L,2/10/2017 0:00,272
GTO.AS,2/10/2017 0:00,54.46
WK.N,2/10/2017 0:00,13.65
WLN.PA,2/10/2017 0:00,25.11
LXFT.N,2/10/2017 0:00,61
RATE.N,2/10/2017 0:00,11.15
TREE.OQ,2/10/2017 0:00,117
MONY.L,2/10/2017 0:00,340
ENV.N,2/10/2017 0:00,38.25
FDS.N,2/10/2017 0:00,177.94
MORN.OQ,2/10/2017 0:00,77.67
MSCI.N,2/10/2017 0:00,91.22
INFO.OQ,2/10/2017 0:00,39.67
TRI.TO,2/10/2017 0:00,57.95
8570.T,2/10/2017 0:00,2106
AXP.N,2/10/2017 0:00,78.48
COF.N,2/10/2017 0:00,88.4
8253.T,2/10/2017 0:00,2160
DFS.N,2/10/2017 0:00,68.82
KTC.BK,2/10/2017 0:00,140
029780.KS,2/10/2017 0:00,42300
SYF.N,2/10/2017 0:00,36.22
HAWK.OQ,2/10/2017 0:00,37.95
CASS.OQ,2/10/2017 0:00,65.9
CIEL3.SA,2/10/2017 0:00,27.62
EDEN.PA,2/10/2017 0:00,20.735
EEFT.OQ,2/10/2017 0:00,80.25
EVTC.N,2/10/2017 0:00,17.15
FIS.N,2/10/2017 0:00,80.46
FLT.N,2/10/2017 0:00,168.91
GPN.N,2/10/2017 0:00,78.47
3769.T,2/10/2017 0:00,6230
GDOT.N,2/10/2017 0:00,26.64
MA.N,2/10/2017 0:00,107.27
MPLU3.SA,2/10/2017 0:00,37.34
UEPS.OQ,2/10/2017 0:00,12.79
PYPL.OQ,2/10/2017 0:00,40.58
PAYS.L,2/10/2017 0:00,410
TSS.N,2/10/2017 0:00,53.59
VNTV.N,2/10/2017 0:00,63.25
V.N,2/10/2017 0:00,85.9
WEX.N,2/10/2017 0:00,119.28
WDIG.DE,2/10/2017 0:00,45.41
FISV.OQ,2/10/2017 0:00,109.07
6588.T,2/10/2017 0:00,625
3611.TWO,2/10/2017 0:00,261.5
ZBRA.OQ,2/10/2017 0:00,85.03
8076.TWO,2/10/2017 0:00,60.6
INGC.PA,2/10/2017 0:00,78
0327.HK,2/10/2017 0:00,5.63
PAY.N,2/10/2017 0:00,19.44
BKFS.N,2/10/2017 0:00,38.5
JKHY.OQ,2/10/2017 0:00,90.6
QTWO.N,2/10/2017 0:00,32.1
TEMN.S,2/10/2017 0:00,73.75
EPAY.OQ,2/10/2017 0:00,26.32
MYO.AX,2/10/2017 0:00,3.6
XRO.NZ,2/10/2017 0:00,19.08
GFTG.DE,2/10/2017 0:00,19.445
4307.T,2/10/2017 0:00,3810
WING.DE,2/10/2017 0:00,69.16
EBIX.OQ,2/10/2017 0:00,58.1
GWRE.N,2/10/2017 0:00,54.57
SIM.CO,2/10/2017 0:00,360
SSNC.OQ,2/10/2017 0:00,32.81
DH.TO,2/10/2017 0:00,23.35
DST.N,2/10/2017 0:00,116.91
ELLI.N,2/10/2017 0:00,98.29
FICO.N,2/10/2017 0:00,126.81
IRE.AX,2/10/2017 0:00,11.15
ACIW.OQ,2/10/2017 0:00,19.85
035600.KQ,2/10/2017 0:00,11300
SFUN.N,2/10/2017 0:00,3.4
2120.T,2/10/2017 0:00,770
RMV.L,2/10/2017 0:00,4237
Z.OQ,2/10/2017 0:00,34.42
XTLY.N,2/10/2017 0:00,12.05
TBBK.OQ,2/10/2017 0:00,5.07
8114.TW,2/10/2017 0:00,174.5
BLUJ.J,2/10/2017 0:00,1800
ZPLAZ.L,2/10/2017 0:00,384.4
QIWI.OQ,2/10/2017 0:00,14.75
FSMARTm.BK,2/10/2017 0:00,18.9
NXGN.L,2/10/2017 0:00,561.5
